Date,Meralco,Visayan Electric,Iligan Light,Davao Light
2022-10,9.86 ,15.87 ,11.29,10.80 
2022-11,9.94 ,16.40 ,11.49,11.35 
2022-12,10.27 ,16.35 ,11.79,12.63 
2023-1,10.90 ,16.08 ,11.78,12.45 
2023-2,10.89 ,15.19 ,12.78,11.52 
2023-3,11.43 ,14.25 ,12.47,11.14 
2023-4,11.32 ,14.28 ,12.52,11.10 
2023-5,11.49 ,13.88 ,12.01,10.04 
2023-6,11.91 ,13.72 ,12.50 ,10.23
2023-7,11.18,13.11 ,11.78 ,8.74
2023-8,10.89,9.37 ,11.89 ,5.68
2023-9,11.39,12.01 ,11.50 ,9.45
2023-10,11.81,12.59 ,11.39 ,9.21
2023-11,12.05,16.40 ,11.40 ,9.12
2023-12,11.25,11.43 ,11.07 ,8.73
